User ID,Age,Gender,Height,Interests,Looking For,Children,Education Level,Occupation,Swiping History,Frequency of Usage
1,30,Male,5.240384818289867,"['Sports', 'Cooking', 'Hiking', 'Music', 'Movies', 'Reading', 'Travel']",Casual Dating,No,High School,Student,96,Weekly
2,27,Female,4.937625189981325,"['Sports', 'Reading']",Friendship,Yes,Master's Degree,Artist,96,Monthly
3,29,Female,5.806295844533026,['Sports'],Casual Dating,No,Bachelor's Degree,Social Media Influencer,64,Daily
4,29,Female,5.101402346041159,['Reading'],Marriage,No,Ph.D.,Doctor,67,Daily
5,32,Male,5.986670327920848,"['Sports', 'Hiking', 'Music', 'Movies', 'Reading']",Long-term Relationship,Yes,Ph.D.,Engineer,93,Monthly
6,25,Female,5.192045043820928,"['Sports', 'Cooking', 'Movies', 'Music', 'Travel', 'Reading', 'Hiking']",Marriage,Yes,Master's Degree,Engineer,38,Monthly
7,27,Female,5.725125741058958,"['Travel', 'Cooking']",Marriage,No,Master's Degree,Student,77,Monthly
8,21,Male,5.1082760743415285,"['Cooking', 'Hiking', 'Movies', 'Reading', 'Music', 'Travel']",Marriage,Yes,Bachelor's Degree,Teacher,87,Daily
9,33,Female,5.364951099041565,"['Music', 'Reading', 'Sports', 'Cooking', 'Movies']",Friendship,Maybe,High School,Social Media Influencer,6,Monthly
10,26,Female,6.020815284576836,"['Sports', 'Reading', 'Music', 'Cooking', 'Movies', 'Hiking']",Long-term Relationship,No,Ph.D.,Teacher,8,Weekly
11,27,Female,4.932742500348858,"['Cooking', 'Reading', 'Music']",Friendship,Maybe,Master's Degree,Teacher,19,Weekly
12,20,Female,5.752873347389619,"['Cooking', 'Sports']",Friendship,Yes,Ph.D.,Business Owner,19,Monthly
13,33,Female,5.563135850494532,"['Music', 'Cooking', 'Sports']",Casual Dating,Yes,Bachelor's Degree,Teacher,12,Weekly
14,25,Female,5.402888702854795,"['Travel', 'Movies']",Friendship,Yes,High School,Entrepreneur,80,Monthly
15,20,Male,5.511370950425028,['Hiking'],Friendship,No,Bachelor's Degree,Student,81,Monthly
16,30,Female,5.866473532435496,['Cooking'],Marriage,Maybe,Bachelor's Degree,Artist,97,Monthly
17,27,Male,6.011520446487662,"['Cooking', 'Music', 'Hiking']",Friendship,Yes,Bachelor's Degree,Engineer,12,Weekly
18,29,Male,5.627683848284905,"['Movies', 'Sports', 'Travel', 'Music', 'Cooking']",Marriage,No,Master's Degree,Doctor,4,Daily
19,31,Male,5.171047595192321,"['Sports', 'Movies']",Long-term Relationship,Yes,Master's Degree,Business Owner,32,Daily
20,24,Female,5.206369247210565,"['Sports', 'Cooking', 'Hiking']",Friendship,Yes,Ph.D.,Entrepreneur,13,Daily
21,31,Male,5.329140528954629,['Cooking'],Friendship,Maybe,Bachelor's Degree,Engineer,5,Weekly
22,27,Female,5.430026156327804,"['Travel', 'Reading', 'Hiking', 'Cooking', 'Sports']",Casual Dating,Maybe,Master's Degree,Doctor,61,Weekly
23,22,Male,5.390113466452185,"['Travel', 'Hiking', 'Reading']",Friendship,No,Bachelor's Degree,Artist,55,Daily
24,31,Female,5.30866811020693,"['Music', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,98,Daily
25,24,Female,6.028219579617898,"['Music', 'Travel', 'Cooking', 'Hiking', 'Movies', 'Reading', 'Sports']",Casual Dating,No,Master's Degree,Entrepreneur,72,Monthly
26,29,Female,5.647510204507609,"['Sports', 'Reading', 'Hiking']",Friendship,Maybe,High School,Business Owner,98,Monthly
27,32,Male,5.3643518092927955,"['Reading', 'Cooking']",Casual Dating,Maybe,Master's Degree,Engineer,37,Monthly
28,20,Female,5.754320099268738,"['Reading', 'Sports', 'Hiking', 'Travel', 'Movies', 'Music', 'Cooking']",Marriage,Maybe,High School,Doctor,52,Daily
29,19,Female,5.732664878338943,"['Cooking', 'Sports', 'Reading']",Long-term Relationship,Yes,Ph.D.,Artist,14,Weekly
30,32,Male,6.088162166352509,"['Music', 'Movies', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Entrepreneur,23,Monthly
31,18,Female,5.335882855091953,"['Sports', 'Movies', 'Travel', 'Cooking', 'Reading']",Long-term Relationship,Maybe,Ph.D.,Artist,29,Weekly
32,30,Male,4.906158034428246,"['Cooking', 'Travel', 'Reading']",Casual Dating,Yes,Ph.D.,Student,28,Weekly
33,20,Female,5.720755638783328,"['Sports', 'Movies', 'Cooking', 'Travel', 'Hiking', 'Music', 'Reading']",Friendship,No,Master's Degree,Teacher,74,Monthly
34,21,Male,5.0980924197068305,"['Music', 'Cooking']",Casual Dating,Yes,Ph.D.,Entrepreneur,81,Weekly
35,25,Male,5.671438558839379,"['Reading', 'Sports']",Long-term Relationship,No,Ph.D.,Student,31,Weekly
36,19,Male,5.408660629652182,"['Movies', 'Cooking', 'Hiking', 'Reading', 'Sports', 'Travel', 'Music']",Friendship,No,Ph.D.,Business Owner,83,Daily
37,24,Male,4.915416267526658,"['Sports', 'Music', 'Reading', 'Hiking', 'Travel', 'Cooking', 'Movies']",Casual Dating,Yes,Master's Degree,Teacher,8,Monthly
38,26,Female,5.965380153412889,"['Sports', 'Movies', 'Music']",Long-term Relationship,No,Bachelor's Degree,Entrepreneur,85,Weekly
39,24,Female,5.678084813207579,"['Sports', 'Music', 'Reading', 'Hiking']",Casual Dating,Yes,Ph.D.,Entrepreneur,52,Weekly
40,19,Male,5.920743402023185,"['Movies', 'Music']",Friendship,Maybe,High School,Social Media Influencer,12,Daily
41,24,Female,5.238880597920358,"['Hiking', 'Music', 'Reading', 'Movies', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,88,Monthly
42,35,Male,5.900425428231701,"['Music', 'Movies', 'Reading']",Marriage,Yes,Bachelor's Degree,Artist,62,Monthly
43,31,Female,5.227422032665844,"['Sports', 'Reading', 'Movies', 'Hiking', 'Travel', 'Music', 'Cooking']",Friendship,Yes,High School,Artist,13,Weekly
44,34,Male,5.95906134562711,"['Hiking', 'Movies', 'Cooking', 'Reading', 'Sports', 'Travel']",Marriage,No,Master's Degree,Doctor,2,Daily
45,23,Male,6.000881660993571,"['Sports', 'Movies', 'Hiking', 'Travel', 'Reading', 'Music', 'Cooking']",Friendship,Yes,High School,Engineer,43,Weekly
46,20,Female,5.652509215982641,"['Music', 'Movies', 'Travel']",Long-term Relationship,No,Bachelor's Degree,Teacher,9,Daily
47,33,Female,5.338095724935996,"['Sports', 'Hiking', 'Music']",Marriage,Maybe,High School,Student,92,Daily
48,30,Male,5.280272161413801,"['Movies', 'Hiking', 'Music', 'Sports', 'Reading', 'Cooking']",Casual Dating,No,High School,Artist,49,Weekly
49,30,Male,5.39718541504201,"['Sports', 'Music', 'Movies', 'Cooking']",Casual Dating,No,High School,Student,82,Daily
50,26,Female,5.955798431691355,"['Music', 'Cooking', 'Reading', 'Travel', 'Hiking', 'Sports', 'Movies']",Long-term Relationship,Yes,Bachelor's Degree,Doctor,83,Weekly
51,33,Male,5.370472004934425,"['Reading', 'Hiking', 'Music', 'Cooking']",Long-term Relationship,Yes,Bachelor's Degree,Entrepreneur,79,Monthly
52,35,Male,5.596232820187575,"['Travel', 'Movies']",Long-term Relationship,No,High School,Doctor,26,Monthly
53,18,Male,6.0897437596907,"['Reading', 'Music']",Friendship,Maybe,Ph.D.,Teacher,66,Monthly
54,27,Male,5.63923316071156,"['Hiking', 'Travel']",Long-term Relationship,No,Master's Degree,Engineer,25,Monthly
55,28,Female,4.933521219792926,"['Music', 'Travel', 'Sports', 'Movies', 'Cooking', 'Reading']",Marriage,Yes,High School,Artist,96,Daily
56,18,Female,5.211941481893195,['Travel'],Casual Dating,Maybe,Master's Degree,Doctor,88,Daily
57,28,Female,5.332273464857678,"['Cooking', 'Movies']",Friendship,No,High School,Entrepreneur,26,Daily
58,33,Female,5.724147913769532,"['Travel', 'Music', 'Sports', 'Reading', 'Movies', 'Hiking']",Friendship,Yes,Ph.D.,Doctor,24,Daily
59,34,Female,5.288793846543993,"['Movies', 'Sports']",Casual Dating,Yes,Ph.D.,Artist,11,Monthly
60,35,Male,6.010121016898489,"['Reading', 'Travel', 'Hiking', 'Cooking', 'Sports']",Long-term Relationship,Maybe,High School,Entrepreneur,80,Monthly
61,34,Male,5.487375508392343,"['Cooking', 'Sports', 'Travel', 'Hiking', 'Music']",Friendship,Maybe,Master's Degree,Business Owner,13,Weekly
62,30,Female,5.143568341925464,"['Cooking', 'Travel', 'Movies', 'Sports', 'Reading', 'Music', 'Hiking']",Friendship,Maybe,High School,Doctor,83,Daily
63,21,Male,4.828775494672228,['Movies'],Long-term Relationship,No,Ph.D.,Engineer,18,Weekly
64,25,Female,5.481743173360596,"['Travel', 'Sports', 'Cooking', 'Hiking', 'Music']",Casual Dating,No,Ph.D.,Business Owner,59,Monthly
