Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
121439954563203,Bharatiya Janata Party (BJP),Bharatiya Janata Party (BJP),193854342,43455
351616078284404,Indian National Congress,Indian National Congress,108787100,846
132715103269897,Ama Chinha Sankha Chinha,Ama Chinha Sankha Chinha,73361399,1799
192856493908290,Ama Chinha Sankha Chinha,Ama Chinha Sankha Chinha,32294327,680
109470364774303,Ellorum Nammudan,Populus Empowerment Network Private Limited,22399499,879
1400615623488784,BJP Odisha,BJP Odisha,19573782,2152
109545244848137,Crafto,Kutumb App,16954562,272
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,16358104,1928
218904931482352,All India Trinamool Congress,All India Trinamool Congress,15151000,336
775974615850063,MyGovIndia,MyGovIndia,14202725,67
109937650579639,discovery+,discovery+,13408908,279
1987488401557504,Mahathugbandhan - महाठगबंधन,Mahathugbandhan - महाठगबंधन,12793073,832
192548643939288,MemeXpress,Memes Xpress,11099867,291
107026039151450,మన మోదీ,manamodi.com,10814825,2554
206212622563937,Political X-Ray,Political X Ray,9327292,426
106939425841911,Way2News தமிழ்,way2news,8834392,181
102161401415097,Modi Sang Bihar - मोदी संग बिहार,Modi Sang Bihar - मोदी संग बिहार,8648574,1525
106461617679070,Meta,Meta India with Facebook Ad Credits,8509170,73
113730508499849,Mudde ki Baat - मुद्दे की बात,Mudde Ki Baat,8448419,302
287829634407040,Meme Hub,Memes Xpress,7926104,256
192136870799912,Telugu Desam Party (TDP),Telugu Desam Party (TDP),7565986,322
247944825069932,Amaar Sonar Bangla - আমার সোনার বাংলা,Ulta Chashmaa,7496469,170
1563310070576778,BJP Andhra Pradesh,BJP Andhra Pradesh,7406091,813
117221101343678,Kharge Fan Club,Kharge Fan Club,6982444,793
179670408573941,Tamilakam - தமிழகம்,Tamilakam - தமிழகம்,6944096,463
192856493908290,Ama Chinha Sankha Chinha,Ama Odisha Nabin Odisha,6757215,154
180161138515248,କେତେଦିନ ସହିବା? / Ketedina Sahibaa?,କେତେଦିନ ସହିବା? / Ketedina Sahibaa?,5916621,1525
137725446093407,Stalinin Kural,Populus Empowerment Network Private Limited,5593308,166
150106531736299,BJP West Bengal,Bharatiya Janata Party (BJP),5346709,2130
102251656262079,Hirak Rani Bye Bye,Hirak Rani Bye Bye,5104204,2307
100848425054921,Subarna Odisha,Subarna Odisha,4833876,387
243223508870963,ప్రశ్నిస్తున్న తెలంగాణ,PrashnisthunnaTelangana.com,4681057,1286
264498770075583,Sidha Chashma -  सीधा चश्मा,Sidha Chashma -  सीधा चश्मा,4353385,110
108777655527686,Trinamoole Nabo Jowar,Trinamoole Nabo Jowar,4285348,120
323383091040924,BJP Maharashtra,BJP Maharashtra,4282727,629
220803731286272,Panasonic India,Panasonic India,4097065,22
126436680719285,redBus,redBus,3948412,69
102731029554453,Punithare Modi - ପୁଣିଥରେ ମୋଦୀ,Punithare Modi - ପୁଣିଥରେ ମୋଦୀ,3730128,1657
111986798594822,Jagananna Suraksha,Jagane Kavali,3668251,106
1471581409720618,BJP Uttar Pradesh,Bharatiya Janata Party (BJP),3612966,743
264498770075583,Sidha Chashma -  सीधा चश्मा,Sidha Chashma - सीधा चश्मा,3559224,111
477935665706418,Bangur Cement,Bangur Cement,3500358,26
213811765155120,Memu Siddham Maa Booth Siddham,Jaganna Tho Siddham,2947370,39
294493857651676,Rahul Gandhi,Indian National Congress,2937002,89
104211439033799,Jagane Kavali,Jagane Kavali,2545951,101
1622068738037251,BJP Bihar,Bharatiya Janata Party (BJP),2522585,502
424429107582290,BJP Gujarat,BJP Gujarat,2473874,285
355739144465220,BJP Madhya Pradesh,Bharatiya Janata Party (BJP),2469600,237
520972198086866,BJP Punjab,Bharatiya Janata Party,2465205,628
290805814352519,Aam Aadmi Party,Aam Aadmi Party,2442512,39
309587409080562,YSR Congress  Party - YSRCP,YSR Congress  Party - YSRCP,2411679,547
446315955838127,New India Junction,New India Junction,2238931,96
283350415665978,Ek Akela Sab Par Bhari,Ek Akela Sab Par Bhari,2125420,1206
110928101939963,CM Ramesh,Aadhan Media Pvt Ltd,2010455,252
486980998032652,BJP Karnataka,Bharatiya Janata Party (BJP),1860595,250
104357142124794,Way2News Tamil Nadu,way2news,1848101,65
103383692826378,Desa Mai Des Haryana - देसा मैं देस हरियाणा,Desa Mai Des Haryana - देसा मैं देस हरियाणा,1832200,1045
959522767475275,Way2News తెలుగు / Telugu,Way2News తెలుగు / Telugu,1820403,19
2332438576770678,The Honest Odia,The Honest Odia,1803351,68
231135540269783,BJP Tamilnadu,Bharatiya Janata Party (BJP),1772308,326
374053839347947,Aam Aadmi Party - Punjab,Aam Aadmi Party - Punjab,1738474,69
249708958217278,Malabar Central - മലബാർ സെൻട്രൽ,Malabar Central - മലബാർ സെൻട്രൽ,1707019,114
668992366477678,Dr.Chandra Sekhar Pemmasani,Aadhan Media Pvt Ltd,1696906,57
259278827776696,BJP Sikkim,Bharatiya Janata Party,1678769,359
135328976521355,BJP Haryana,BJP Haryana,1644056,501
115529624796206,Hokage Modi Sama,Hokage Modi Sama,1605114,982
668992366477678,Dr.Chandra Sekhar Pemmasani,Dr.Chandra Sekhar Pemmasani,1600460,146
132689140088396,smilefoundation,smilefoundation,1595452,282
109787141472683,Bridge2Health,Bridge2Health,1588020,45
205049862700772,Jagananna Kosam Siddham,Jagananna Tho Siddham,1583313,32
327120054405346,Jagananna ki Thoduga,Jagan Anna ki Thoduga,1573408,49
204792022725505,Memantha Siddham,Jaganannatho Siddham,1562555,39
30290552843,Greenpeace India,Greenpeace India Society,1553481,215
247944825069932,Amaar Sonar Bangla - আমার সোনার বাংলা,Amaar Sonar Bangla - আমার সোনার বাংলা,1551673,124
703726259672921,BJP Telangana,Bharatiya Janata Party (BJP),1549354,1201
1427678110829525,Ranjeet Singh,Ranjeet Singh,1532605,630
174185859107126,Jharkhand Chaupal-झारखंड चौपाल,Jharkhand Chaupal-झारखंड चौपाल,1519024,1314
