Location name,Amount spent (INR)
Andaman and Nicobar Islands,377858
Andhra Pradesh,100819732
Arunachal Pradesh,1385654
Assam,17478091
Bihar,53619242
Chandigarh,6507258
Chhattisgarh,14803286
Dadra and Nagar Haveli,584679
Delhi,42935946
Goa,2164209
Gujarat,40425399
Haryana,41683411
Himachal Pradesh,12011616
Jammu and Kashmir,6575061
Jharkhand,16380139
Karnataka,41659397
Kerala,22681201
Lakshadweep,19847
Madhya Pradesh,39992952
Maharashtra,101917091
Manipur,889062
Meghalaya,884220
Mizoram,481052
Nagaland,599170
Odisha,180252277
Puducherry,1535672
Punjab region,51439204
Rajasthan,41268323
Sikkim,4379297
Tamil Nadu,76622608
Telangana,54496166
Tripura,1857459
Unknown,429361
Uttar Pradesh,89668131
Uttarakhand,7140897
West Bengal,77244996
