_id,Sl No,State,PC_Name,Total Electors,Polled (%),Total Votes,Phase
1,1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,315148,64.1,202018,1
2,2,Arunachal Pradesh,Arunachal East,375310,83.31,312658,1
3,3,Arunachal Pradesh,Arunachal West,517384,73.6,380783,1
4,4,Assam,Dibrugarh,1659588,76.75,1273744,1
5,5,Assam,Jorhat,1727121,79.89,1379749,1
6,6,Assam,Kaziranga,2050126,79.33,1626408,1
7,7,Assam,Lakhimpur,1577234,76.42,1205331,1
8,8,Assam,Sonitpur,1633800,78.46,1281959,1
9,9,Bihar,Aurangabad,1871564,50.35,942382,1
10,10,Bihar,Gaya,1816815,52.76,958623,1
11,11,Bihar,Jamui,1907126,51.25,977369,1
12,12,Bihar,Nawada,2006124,43.17,866102,1
13,13,Chhattisgarh,BASTAR,1472207,68.29,1005392,1
14,14,Jammu and Kashmir,UDHAMPUR,1623195,68.27,1108206,1
15,15,Lakshadweep,Lakshadweep,57784,84.16,48630,1
16,16,Madhya Pradesh,BALAGHAT,1873653,73.45,1376207,1
17,17,Madhya Pradesh,CHHINDWARA,1632190,79.83,1303001,1
18,18,Madhya Pradesh,JABALPUR,1896346,61,1156722,1
19,19,Madhya Pradesh,MANDLA,2101811,72.84,1530861,1
20,20,Madhya Pradesh,SHAHDOL,1777185,64.68,1149506,1
21,21,Madhya Pradesh,SIDHI,2028451,56.5,1146150,1
22,22,Maharashtra,Bhandara Gondiya,1827188,67.04,1224928,1
23,23,Maharashtra,Chandrapur,1837906,67.55,1241574,1
24,24,Maharashtra,Gadchiroli - Chimur,1617207,71.88,1162476,1
25,25,Maharashtra,Nagpur,2223281,54.32,1207738,1
26,26,Maharashtra,Ramtek,2049085,61.01,1250190,1
27,27,Manipur,Inner Manipur,991574,80.15,794790,1
28,28,Manipur,Outer Manipur,553078,68.83,380688,1
29,29,Meghalaya,Shillong,1400411,73.78,1033251,1
30,30,Meghalaya,Tura,826156,81.37,672284,1
31,31,Mizoram,MIZORAM,856364,56.87,487013,1
32,32,Nagaland,Nagaland,1317536,57.72,760507,1
33,33,Puducherry,PUDUCHERRY,1023699,78.9,807724,1
