User ID,Age,Gender,Location,Language,Education Level,Likes and Reactions,Followed Accounts,Device Usage,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),Income Level,Top Interests
1,25-34,Female,Suburban,Hindi,Technical,5640,190,Mobile Only,4.5,1.7,0.193,0.067,25,20k-40k,Digital Marketing
2,65+,Male,Urban,Hindi,PhD,9501,375,Tablet,0.5,7.7,0.114,0.044,68,0-20k,Data Science
3,45-54,Female,Suburban,Spanish,Technical,4775,187,Mobile Only,4.5,5.6,0.153,0.095,80,60k-80k,Fitness and Wellness
4,35-44,Female,Rural,Spanish,PhD,9182,152,Desktop Only,3.1,4.2,0.093,0.061,65,100k+,"Gaming, DIY Crafts"
5,25-34,Female,Urban,English,Technical,6848,371,Mobile Only,2.0,3.8,0.175,0.022,99,20k-40k,"Fitness and Wellness, Investing and Finance, Gardening, Music Production"
6,25-34,Female,Suburban,Hindi,Master,6203,257,Mobile + Desktop,3.8,3.3,0.209,0.048,44,100k+,"Gourmet Cooking, Software Engineering, Eco-Friendly Living"
7,18-24,Female,Suburban,Hindi,Bachelor,1573,136,Mobile + Desktop,2.8,7.9,0.172,0.068,8,100k+,"Gardening, Digital Marketing, Music Production"
8,55-64,Male,Suburban,Hindi,PhD,3343,272,Desktop Only,2.7,1.9,0.128,0.032,35,40k-60k,"Music Production, Photography, Gaming, Travel and Adventure"
9,45-54,Female,Urban,Spanish,High School,2281,49,Mobile + Desktop,1.0,3.2,0.115,0.008,159,20k-40k,"Eco-Friendly Living, Gardening"
10,45-54,Male,Rural,Hindi,Bachelor,9741,421,Mobile + Desktop,2.3,4.4,0.161,0.058,157,100k+,"Digital Marketing, Travel and Adventure"
11,18-24,Female,Suburban,English,High School,3196,425,Tablet,1.6,4.3,0.17,0.095,73,0-20k,"Eco-Friendly Living, DIY Crafts, Travel and Adventure, Software Engineering"
12,65+,Male,Suburban,English,Bachelor,6746,364,Desktop Only,0.6,4.3,0.14,0.049,74,20k-40k,"Software Engineering, DIY Crafts"
13,55-64,Male,Suburban,Spanish,Bachelor,9882,264,Tablet,2.1,2.2,0.156,0.091,9,60k-80k,"Software Engineering, Eco-Friendly Living, Gardening, Photography"
14,25-34,Female,Suburban,Mandarin,Technical,5982,152,Tablet,0.9,2.0,0.024,0.084,119,20k-40k,"Gourmet Cooking, Travel and Adventure"
15,25-34,Female,Suburban,Spanish,PhD,6082,249,Mobile Only,1.7,2.8,0.238,0.015,95,20k-40k,"Software Engineering, Digital Marketing"
16,25-34,Female,Rural,Mandarin,PhD,5898,237,Desktop Only,0.9,7.4,0.198,0.071,12,100k+,"Fashion Modelling, Photography, Digital Marketing"
17,25-34,Male,Rural,Hindi,Bachelor,9727,350,Mobile Only,1.0,1.8,0.093,0.044,13,40k-60k,"Eco-Friendly Living, Software Engineering, Fitness and Wellness"
18,35-44,Female,Suburban,Spanish,Master,8515,207,Mobile Only,1.4,6.3,0.141,0.025,19,20k-40k,"Gourmet Cooking, Investing and Finance, Reading and Literature"
19,35-44,Female,Urban,English,Master,8511,74,Tablet,5.0,6.3,0.012,0.069,109,100k+,"Fitness and Wellness, Travel and Adventure, Gardening, Gaming"
20,25-34,Female,Rural,Hindi,High School,9946,397,Mobile + Desktop,0.5,6.7,0.01,0.074,11,60k-80k,"Software Engineering, Gaming, Fitness and Wellness, Data Science"
21,45-54,Female,Urban,English,High School,8556,20,Desktop Only,3.4,7.2,0.063,0.018,76,40k-60k,"Fitness and Wellness, DIY Crafts"
22,18-24,Female,Rural,Hindi,Technical,9245,117,Mobile + Desktop,1.1,2.8,0.172,0.091,119,80k-100k,"Fitness and Wellness, Fashion Modelling, Gaming"
23,25-34,Female,Suburban,Spanish,Bachelor,4624,35,Tablet,4.6,2.6,0.213,0.075,19,100k+,Digital Marketing
24,25-34,Male,Rural,Mandarin,High School,6659,454,Tablet,0.9,4.3,0.14,0.093,169,100k+,"Fashion Modelling, Photography, Reading and Literature"
25,35-44,Female,Suburban,Hindi,High School,7720,430,Tablet,4.8,2.9,0.133,0.032,87,100k+,"Reading and Literature, Gardening"
26,45-54,Female,Rural,Mandarin,Bachelor,2874,160,Tablet,3.2,6.1,0.101,0.094,43,80k-100k,Pet Care
